Project,Group,Connections,Twitter,Image,Popup
UNICEF CryptoFund,#F3587D,5,unicefinnovate,https://pbs.twimg.com/profile_images/1239983011539619840/QxoPitsQ_normal.jpg,"<strong>UNICEF Innovation</strong> | <a href=""https://twitter.com/UNICEFinnovate"">@UNICEFinnovate</a><p>An interdisciplinary team tasked with identifying, prototyping, and scaling technologies and practices that strengthen UNICEF’s work for children. #uinnovate </p><a href=""https://t.co/TO3smFomHh"">unicef.org/innovation</a>"
UltraSound Merch Supply Chain,#FFCC00,3,ultrasoundmerch,https://pbs.twimg.com/profile_images/1488266138320527366/FmfTA-zW_normal.jpg,"<strong>UltraSound Merch</strong> | <a href=""https://twitter.com/UltraSoundMerch"">@UltraSoundMerch</a><p>Evergreen Merch for your Cryptonative Community https://t.co/xuRnvBYGNe </p>"
VitaDAO,#F3587D,42,vita_dao,https://pbs.twimg.com/profile_images/1463097895696183298/9EYOgc3Y_normal.jpg,"<strong>VitaDAO 💛</strong> | <a href=""https://twitter.com/vita_dao"">@vita_dao</a><p>VitaDAO is a community owned collective funding early stage longevity research, governed by $VITA-holders 🧬 👉 https://t.co/uq15UrsgHO </p><a href=""https://t.co/Bn6tXfR1Je"">linktr.ee/VitaDAO</a>"
WellnessDAO,#FFCC00,5,wellnessdao,https://pbs.twimg.com/profile_images/1498471208664199172/4taknTus_normal.jpg,"<strong>wellnessDAO</strong> | <a href=""https://twitter.com/wellnessDAO"">@wellnessDAO</a><p>community-driven Discord-Assisted Org promoting mental wellness thru social accountability. DMs open https://t.co/roExRXQR6P wellness passports soon ✨ </p><a href=""https://t.co/yLLGXRCfRd"">wellnessdao.life</a>"
Xplorer Club. Environment.wiki,#02E2AC,37,clubxplorers,https://pbs.twimg.com/profile_images/1496903775608447001/m22mEWqr_normal.jpg,"<strong>XplorΞr</strong> | <a href=""https://twitter.com/ClubXplorers"">@ClubXplorers</a><p>One foot in the wilderness on earth and one in the meta wilderness. Avoiding traffic. Love and beauty wherever. </p><a href=""https://t.co/WAPn77mws6"">environment.wiki</a>"
_slow_crypto - Fabrics of Reality,#F3587D,10,_slow_crypto,https://pbs.twimg.com/profile_images/1491209412874285061/bAuU-d5Q_normal.jpg,"<strong>_slow_crypto</strong> | <a href=""https://twitter.com/_slow_crypto"">@_slow_crypto</a><p>🪐 || Naturally-dyed cosmic minimalism. . . . . . . 👨‍🎨 || Crypto art lab of @thomas_rothery. . . . . . . 🐌 || Slow fashion, slow food, slow crypto. . . . . </p><a href=""https://t.co/qgLOyJponS"">slowcrypto.com</a>"
dClimate,#02E2AC,23,dclimatedao,https://pbs.twimg.com/profile_images/1483443499546644493/2sruqkVw_normal.png,"<strong>dClimate</strong> | <a href=""https://twitter.com/dClimateDAO"">@dClimateDAO</a><p>The first decentralized network (DAO) for climate data, forecasts, and models. https://t.co/YQxtoVvmHy </p><a href=""https://t.co/zBbepvIDDO"">dclimate.net</a>"
elimu.ai Community 👩🏽‍🚀,#F3587D,2,elimu_ai,https://pbs.twimg.com/profile_images/1105890174431563776/_0ydZcq2_normal.png,"<strong>elimu.ai Community DAO 👩🏽‍🚀</strong> | <a href=""https://twitter.com/elimu_ai"">@elimu_ai</a><p>Quality basic education for every child 🚀 <br>#opensource #edtech #ai #ml #dao <br>💎 $ELIMU <br>💬 https://t.co/UTkplWyTJr </p><a href=""https://t.co/Xx1k7wKgNn"">elimu.ai</a>"
ixo,#02E2AC,30,ixoworld,https://pbs.twimg.com/profile_images/1457293969801482241/78AXqR-5_normal.jpg,"<strong>ixo</strong> | <a href=""https://twitter.com/ixoworld"">@ixoworld</a><p>Build your Impact DAO marketplace on the Internet of Impact. A layer-1 carbon-negative chain purposed for #ReFi and verifying #EarthState change. https://t.co/uRDTpdEGej </p><a href=""https://t.co/AHGz1Txta7"">ixo.world</a>"
katalyst.earth,#02E2AC,18,katalystearth,https://pbs.twimg.com/profile_images/1524929400953012224/HOkZLv5j_normal.jpg,"<strong>katalyst.earth</strong> | <a href=""https://twitter.com/KatalystEarth"">@KatalystEarth</a><p>https://t.co/s9SxKGGuXh is accelerating the transition to #NetZero through climate positive projects 🌳🌲🌳. JOIN OUR COMMUNITY: https://t.co/BIk3ltQ43j </p><a href=""https://t.co/KEP1P6PHfk"">katalyst.earth</a>"
senken,#02E2AC,26,senken_io,https://pbs.twimg.com/profile_images/1496099050986385419/NtQ19nrT_normal.jpg,"<strong>senken</strong> | <a href=""https://twitter.com/senken_io"">@senken_io</a><p>Regenerative Finance platform & Launchpad for credible carbon credits #refi </p><a href=""https://t.co/o9AM5ZiCfL"">senken.io</a>"
she256,#F3587D,15,she_256,https://pbs.twimg.com/profile_images/1083237948995264512/dndkl5JN_normal.jpg,"<strong>she256</strong> | <a href=""https://twitter.com/she_256"">@she_256</a><p>501c3 nonprofit aiming to increase diversity & break down barriers to entry in the crypto space. Discord: https://t.co/w4SDAUUOk5 </p><a href=""https://t.co/XQmumljFb0"">she256.org</a>"
voizdao,#FFCC00,13,voizdao,https://pbs.twimg.com/profile_images/1455999743604125698/iFH-hFWC_normal.jpg,"<strong>VoizDAO</strong> | <a href=""https://twitter.com/voizDAO"">@voizDAO</a><p>solarpunk investing and consumption 🌞 | what's beyond ESG and greenwashing | questing for a livable world 🌍 </p><a href=""https://t.co/brWoJMVogn"">voizdao.xyz</a>"
