,Project,Group,Connections,Image,Twitter URL,Twitter Handle,Description,Webpage,V0 - Impact Cartography,V1 - ImpactDAOs Survey
93,Nori,#02E2AC,15,https://pbs.twimg.com/profile_images/1490772408755634177/xu0QpGfG_normal.jpg,https://twitter.com/nori,@nori,"Nori is a blockchain-backed carbon removal marketplace est. in 2017.
Stay updated on the NORI token launch 👉 https://t.co/th4tPnr64C",nori.com,True,False
94,OCEAN Protocol,#F3587D,6,https://pbs.twimg.com/profile_images/1403113745551925249/uDnhMK0J_normal.jpg,https://twitter.com/oceandao_,@oceandao_,"Seeding the best @oceanprotocol ecosystem projects.

Home of batch grants (funding², earmarks), CoreTech/Outreach WG, data NFT labs, and soon: data farming 🌾🪄",discord.gg/38wYfmwg,True,False
95,OpSci,#F3587D,22,https://pbs.twimg.com/profile_images/1515915555919863810/fmO7POI0_normal.jpg,https://twitter.com/opscientia,@opscientia,an autonomous research community ⚡️ science needs a firmware update #DeSci,opsci.io,True,True
96,Open Earth Foundation,#02E2AC,17,https://pbs.twimg.com/profile_images/1503408762685698052/wNnuLV31_normal.jpg,https://twitter.com/open__earth,@open__earth,"A not for profit harnessing emerging digital technologies & radical collaboration to innovate, deploy & scale concrete systemic solutions at a planetary level",openearth.org,True,False
97,Open Forest Protocol ,#02E2AC,40,https://pbs.twimg.com/profile_images/1501195924768534528/0QgebLXH_normal.jpg,https://twitter.com/openforest_,@openforest_,The Open Forest Protocol is a trusted open-source Protocol based on a public blockchain platform for communal verification and reporting of forest data🌲,linktr.ee/openforestprot…,True,True
98,OpenAccessDAO,#F3587D,4,https://pbs.twimg.com/profile_images/1468371149729927171/GsKVA0vr_normal.jpg,https://twitter.com/openaccessdao,@openaccessdao,"Making Science Open Access for all  (🆓,🆓)",oadao.org,True,False
99,PR1S0N Art,#F3587D,13,https://pbs.twimg.com/profile_images/1500890212892819464/J6BhVCFT_normal.jpg,https://twitter.com/pr1s0nart,@pr1s0nart,"Digital art which pays back prisoner debt, restoring justice and the dignity of returning citizens
https://t.co/XVfGR93W1o",pr1s0n.art,False,True
100,PactDAO,#4D82C1,6,https://pbs.twimg.com/profile_images/1455023492064219136/vDVwQax0_normal.jpg,https://twitter.com/pactdao,@pactdao,Make a pact with the people of your city. A NYC-based DAO for mutual aid.,mirror.xyz/pactcollective…,False,True
101,Panvala,#FFCC00,22,https://pbs.twimg.com/profile_images/1432945984150155264/U3XNtqRo_normal.jpg,https://twitter.com/panvalahq,@panvalahq,"Panvala is a network of communities who cooperate and earn perks from Panvala's shared endowment. We want to share Panvala with your community, too!",panvala.com,False,True
102,Parcel.money,#F3587D,7,https://pbs.twimg.com/profile_images/1495678950235725824/F5vbYU64_normal.jpg,https://twitter.com/parcelhq,@parcelhq,"PaymentOS for the Contributor Economy

https://t.co/ZWaSFGdBWW",parcel.money,False,True
103,PeopleDAO,#FFCC00,6,https://pbs.twimg.com/profile_images/1463931234472509441/D0QThGaI_normal.jpg,https://twitter.com/the_peopledao,@the_peopledao,"PeopleDAO is a metaDAO governed by $PEOPLE token. From the people, To the people, For the people. (📜,🤝).",linktr.ee/peopledao,False,True
104,PizzaDAO,#FFCC00,5,https://pbs.twimg.com/profile_images/1515442094109863936/d_5sTA7U_normal.jpg,https://twitter.com/pizza_dao,@pizza_dao,Tokenizing every pizzeria on Earth. @RarePizzas NFT minting now: https://t.co/EZ2i09upTO,rarepizzas.com,False,True
105,Planetary Resilience DAO,#F3587D,21,https://pbs.twimg.com/profile_images/1442221827372331008/bDdtfhxI_normal.jpg,https://twitter.com/jessezondervan,@jessezondervan,Research Scientist @ROC_CO2 @UniofOxford • @wilbe_science #BSF6 Fellow • Editor @Geo_Dev • @ESEImperial alumnus • #SurfaceProcesses • Biogeoengineering • #DeSci,earth.ox.ac.uk/people/jesse-z…,True,False
106,Popcorn Network,#02E2AC,17,https://pbs.twimg.com/profile_images/1511703924146847757/7JVLOXNq_normal.jpg,https://twitter.com/popcorn_dao,@popcorn_dao,"🌍 Impact Made Easy 🌎

🧈 Earn noble yield with Butter https://t.co/fUE4u4fnJE 

🍿 #DeFi4Good Discord: https://t.co/9Mr1VSPSb9",popcorn.network,True,True
107,Pozzle Planet,#02E2AC,9,https://pbs.twimg.com/profile_images/1528610855511728128/87V-ZWOm_normal.jpg,https://twitter.com/pozzleplanet,@pozzleplanet,Pozzle Planet is an Impact-2-Earn NFT-protocol and mobile-app📱Earn $POZ by joining and sharing POZitive actions 💜🌍🌱 https://t.co/Zwhx1YAikv,pozzleplanet.com,True,False
108,PrimeDAO,#FFCC00,51,https://pbs.twimg.com/profile_images/1399376178453090305/RJD82RrV_normal.jpg,https://twitter.com/primedao_,@primedao_,Building tools that turn DeFi into a cooperative ecosystem. #DAO2DAO products and services.,prime.xyz,True,False
109,Project Ark,#02E2AC,23,https://pbs.twimg.com/profile_images/1466469450912251916/9loneEs0_normal.jpg,https://twitter.com/weareprojectark,@weareprojectark,"Project Ark is a social-impact NFT platform, directly funding environmental conservation efforts around the world. 
JOIN US:  https://t.co/69eid01UOO",,True,False
110,Proof of Humanity,#FFCC00,15,https://pbs.twimg.com/profile_images/1380603982205321217/EuVE1qKL_normal.jpg,https://twitter.com/proofofhumanity,@proofofhumanity,Sybil-resistant registry of Humans using social verification + @Kleros_io courts. Streaming $UBI 💧 & building a decentralized democracy!,proofofhumanity.id,True,True
111,Proof of Integrity,#FFCC00,5,https://pbs.twimg.com/profile_images/1479571988326715392/brDTz-ll_normal.jpg,https://twitter.com/proof_integrity,@proof_integrity,Helping struggling communities to reduce poverty through financial training and crypto embracement. Powered by @beontechstudio.,proofofintegrity.org,True,False
112,Protein Community,#FFCC00,53,https://pbs.twimg.com/profile_images/1498963326621175811/-33yvad6_normal.jpg,https://twitter.com/protein,@protein,Hello. We are Protein. A place where people and ideas grow. Powered by $PRTN,discord.gg/protein,False,True
113,PsyDAO,#F3587D,7,https://pbs.twimg.com/profile_images/1445490915284447247/FkxX31Om_normal.jpg,https://twitter.com/psydao_,@psydao_,PsyDAO is forming a decentralised organisation with the goal of funding research at the intersection of psychedelics and mental health.,psydao.com,True,False
114,Public Good School,#FFCC00,4,https://pbs.twimg.com/profile_images/1482443795438489609/odYydXDD_normal.png,https://twitter.com/publicgood_s,@publicgood_s,"We are growing innovative leaders 🌱

Public Good School is a center for Public Goods education, training, and activism.

Join us and help build a better world!",,False,True
115,ReFi DAO,#02E2AC,78,https://pbs.twimg.com/profile_images/1495113844108234757/KIz-ugMM_normal.jpg,https://twitter.com/refidaoist,@refidaoist,"🌳 Scaling meaningful climate action with #web3. 
❤️ Justice, Equity, Diversity and Inclusion
🙏 DM us your #ReFi story for an invite",refidao.com,False,True
116,Regen Network,#02E2AC,66,https://pbs.twimg.com/profile_images/1531703353478066177/8zvqMFY2_normal.png,https://twitter.com/regen_network,@regen_network,Platform for a Thriving Planet 🌏 nothing less than planetary regeneration. #blockchain #drawdown | Built on @cosmos | #hiring,regen.network,True,False
117,Return Protocol,#02E2AC,51,https://pbs.twimg.com/profile_images/1486911107763781634/hK1LCOdh_normal.jpg,https://twitter.com/returnprotocol,@returnprotocol,"Make your blockchain life automatically sustainable forever and show the world with one single click and payment 🌳

Launching in Q3 2022 🚀

#ReFi #DeFi #Web3",rb.gy/ogpmpv,True,True
118,Ribon,#FFCC00,3,https://pbs.twimg.com/profile_images/1414980075657781253/si45PDXk_normal.jpg,https://twitter.com/ribondao,@ribondao,+40k active users donation platform awarded by @gatesfoundation | Becoming the #DAO that will change the charity market | Join our community on: https://t.co/l6HnV1rTLJ,ribon.io/en,True,False
119,RnDAO,#F3587D,2,https://pbs.twimg.com/profile_images/1498337715661778946/7YEners2_normal.jpg,https://twitter.com/RnDAO__,@RnDAO__,"empower
humane
collaboration",bit.ly/joinrndao,False,False
120,Socialstack,#FFCC00,9,https://pbs.twimg.com/profile_images/1486017781757845509/QzZje9US_normal.jpg,https://twitter.com/trysocialstack,@trysocialstack,"the code-free social token platform that gives a damn  

free transactions. carbon negative. built on Celo, Polygon and Ethereum.",socialstack.co,False,True
121,Solid World DAO,#02E2AC,48,https://pbs.twimg.com/profile_images/1489284392992264197/24jk55_T_normal.jpg,https://twitter.com/solidworlddao,@solidworlddao,"A Web3 protocol that is funding the future of planet Earth

Discord: https://t.co/qvfTSBZiFz
Telegram: https://t.co/NHKuoH1LJt",solid.world,True,True
122,SolidarityCard,#FFCC00,8,https://pbs.twimg.com/profile_images/1457895697697619973/KvjphzvC_normal.jpg,https://twitter.com/solcardorg,@solcardorg,SolidarityCard humanizes and supports people in need through authentic conversations and transparent donations. 🌱 @KERNEL0x #KB5,solcard.org,False,True
123,Sovereign Nature Initiative,#02E2AC,35,https://pbs.twimg.com/profile_images/1140680058698383360/1tGYV9Ni_normal.png,https://twitter.com/sovereignnature,@sovereignnature,"Reconfiguring the intersection between ecology, economy, and emerging technologies 🌍💡🌿",sovereignnature.com,True,True
124,Spark Eco,#FFCC00,38,https://pbs.twimg.com/profile_images/1469331578220388362/iIJKpz5t_normal.jpg,https://twitter.com/spark_eco,@spark_eco,https://t.co/7ACv7RLPDd is funding solar in emerging markets with crypto. Pilot project crowdfunding coming. Join the adventure: https://t.co/hQYZso8xtb,gitcoin.co/grants/4883/de…,False,True
125,SuperBenefit,#F3587D,3,https://pbs.twimg.com/profile_images/1501683292252381184/ol7vN85__normal.jpg,https://twitter.com/superbenefitdao,@superbenefitdao,Making better happen faster.,superbenefit.org,False,True
126,Surge Women,#F3587D,19,https://pbs.twimg.com/profile_images/1453433842077818883/VZcpMbbl_normal.jpg,https://twitter.com/surge_women,@surge_women,A female-led organization educating and securing womxn’s place in Web3- 5000 Passport NFTs on Opensea ❤️ https://t.co/G0jz7ryet6,linktr.ee/surgewomen,True,True
127,TEC,#FFCC00,32,https://pbs.twimg.com/profile_images/1359180303332433923/J1XNdjPW_normal.png,https://twitter.com/tecmns,@tecmns,The TEC is advancing the field of token engineering. Participate in our collaborative economy & decision making. 🌈 https://t.co/TrLSYwTAtG,tecommons.org,True,True
128,The Eden Dao,#02E2AC,37,https://pbs.twimg.com/profile_images/1486138412155301888/x0Axrznt_normal.jpg,https://twitter.com/theedendao,@theedendao,We are creating the carbon coin that hyperscales carbon removal and creates wealth for generations to come. #DRMwithus 👇,drm.edendao.finance,True,True
129,Therapoid,#F3587D,2,https://pbs.twimg.com/profile_images/1333840579361378307/-rQ2dJPO_normal.jpg,https://twitter.com/opentherapeutic,@opentherapeutic,"#Blockchain-based #OpenScience & #OpenAccess platform. Awards #ScienceCoins #cryptocurrency to researchers who collaborate. Free tools, services, and funding.",OpenTherapeutics.net,False,True
130,Thirsty Thirsty,#4D82C1,11,https://pbs.twimg.com/profile_images/1473381159635591168/2Q3XsoDQ_normal.jpg,https://twitter.com/thirstythirsty8,@thirstythirsty8,A remembrance project disguised as the coolest food & wine club on Earth🍾 Regenerate Mother Earth deliciously. 888 VIP #web3 Membership & Fine #wine #NFTs.,linktr.ee/thirstythirsty,False,False
131,Tip Party,#FFCC00,13,https://pbs.twimg.com/profile_images/1471546323317010440/q2X940i4_normal.jpg,https://twitter.com/moonshotcollect,@moonshotcollect,We are the prototyping Workstream and Builder Community @GitcoinDAO.,,False,True
132,Toucan,#02E2AC,64,https://pbs.twimg.com/profile_images/1532273103983857665/tKcldLWM_normal.jpg,https://twitter.com/toucanprotocol,@toucanprotocol,"We build infrastructure for carbon markets to finance the world's best climate crisis solutions.

#DeFi #ReFi #Web3

Discord & Office Hour: https://t.co/ckDnFCU9HV",toucan.earth,True,False
133,Treejer,#02E2AC,21,https://pbs.twimg.com/profile_images/1516128881824215042/vWGNL1Ut_normal.jpg,https://twitter.com/treejertalks,@treejertalks,Connecting Funders to Rural Tree Planters Worldwide | Genesis Mint is live! | https://t.co/p13aquaxaI,treejer.com/genesis,True,True
134,UNICEF CryptoFund,#F3587D,5,https://pbs.twimg.com/profile_images/1239983011539619840/QxoPitsQ_normal.jpg,https://twitter.com/unicefinnovate,@unicefinnovate,"An interdisciplinary team tasked with identifying, prototyping, and scaling technologies and practices that strengthen UNICEF’s work for children. #uinnovate",unicef.org/innovation,True,False
135,UltraSound Merch Supply Chain,#FFCC00,3,https://pbs.twimg.com/profile_images/1488266138320527366/FmfTA-zW_normal.jpg,https://twitter.com/ultrasoundmerch,@ultrasoundmerch,Evergreen Merch for your Cryptonative Community https://t.co/xuRnvBYGNe,,False,True
136,VitaDAO,#F3587D,42,https://pbs.twimg.com/profile_images/1463097895696183298/9EYOgc3Y_normal.jpg,https://twitter.com/vita_dao,@vita_dao,"VitaDAO is a community owned collective funding early stage longevity research, governed by $VITA-holders 🧬 👉 https://t.co/uq15UrsgHO",linktr.ee/VitaDAO,True,True
137,WellnessDAO,#4D82C1,5,https://pbs.twimg.com/profile_images/1498471208664199172/4taknTus_normal.jpg,https://twitter.com/wellnessdao,@wellnessdao,community-driven Discord-Assisted Org promoting mental wellness thru social accountability. DMs open https://t.co/roExRXQR6P wellness passports soon ✨,wellnessdao.life,False,True
138,Xplorer Club. Environment.wiki,#02E2AC,37,https://pbs.twimg.com/profile_images/1496903775608447001/m22mEWqr_normal.jpg,https://twitter.com/clubxplorers,@clubxplorers,One foot in the wilderness on earth and one in the meta wilderness. Avoiding traffic. Love and beauty wherever.,environment.wiki,False,True
139,_slow_crypto - Fabrics of Reality,#F3587D,10,https://pbs.twimg.com/profile_images/1491209412874285061/bAuU-d5Q_normal.jpg,https://twitter.com/_slow_crypto,@_slow_crypto,"🪐 || Naturally-dyed cosmic minimalism. . . . . . . 👨‍🎨 || Crypto art lab of @thomas_rothery. . . . . . . 🐌 || Slow fashion, slow food, slow crypto. . . . .",slowcrypto.com,True,False
140,dClimate,#02E2AC,23,https://pbs.twimg.com/profile_images/1483443499546644493/2sruqkVw_normal.png,https://twitter.com/dclimatedao,@dclimatedao,"The first decentralized network (DAO) for climate data, forecasts, and models. https://t.co/YQxtoVvmHy",dclimate.net,True,True
141,elimu.ai Community 👩🏽‍🚀,#F3587D,2,https://pbs.twimg.com/profile_images/1105890174431563776/_0ydZcq2_normal.png,https://twitter.com/elimu_ai,@elimu_ai,"Quality basic education for every child 🚀 
#opensource #edtech #ai #ml #dao 
💎 $ELIMU 
💬 https://t.co/UTkplWyTJr",elimu.ai,True,False
142,ixo,#02E2AC,30,https://pbs.twimg.com/profile_images/1457293969801482241/78AXqR-5_normal.jpg,https://twitter.com/ixoworld,@ixoworld,Build your Impact DAO marketplace on the Internet of Impact. A layer-1 carbon-negative chain purposed for #ReFi and verifying #EarthState change. https://t.co/uRDTpdEGej,ixo.world,True,False
143,katalyst.earth,#02E2AC,18,https://pbs.twimg.com/profile_images/1524929400953012224/HOkZLv5j_normal.jpg,https://twitter.com/katalystearth,@katalystearth,https://t.co/s9SxKGGuXh is accelerating the transition to #NetZero through climate positive projects 🌳🌲🌳. JOIN OUR COMMUNITY: https://t.co/BIk3ltQ43j,katalyst.earth,False,True
144,senken,#02E2AC,26,https://pbs.twimg.com/profile_images/1496099050986385419/NtQ19nrT_normal.jpg,https://twitter.com/senken_io,@senken_io,Regenerative Finance platform & Launchpad for credible carbon credits #refi,senken.io,False,True
145,she256,#F3587D,15,https://pbs.twimg.com/profile_images/1083237948995264512/dndkl5JN_normal.jpg,https://twitter.com/she_256,@she_256,501c3 nonprofit aiming to increase diversity & break down barriers to entry in the crypto space. Discord: https://t.co/w4SDAUUOk5,she256.org,True,False
146,voizdao,#FFCC00,13,https://pbs.twimg.com/profile_images/1455999743604125698/iFH-hFWC_normal.jpg,https://twitter.com/voizdao,@voizdao,solarpunk investing and consumption 🌞 | what's beyond ESG and greenwashing | questing for a livable world 🌍,voizdao.xyz,False,True
